Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Algorithmn_Assignment.Program.QuickSort(int32[],int32,int32)","1,336,456",87.80,68.81,0.12,0.00,"Algorithmn Assignment.exe",
"Algorithmn_Assignment.Program.Partition(int32[],int32,int32)","663,228",18.99,18.99,0.00,0.00,"Algorithmn Assignment.exe",
"Algorithmn_Assignment.Program.SlowSort(int32[],int32)","10,000",6.73,6.73,0.01,0.01,"Algorithmn Assignment.exe",
"System.Random.Next(int32,int32)","1,000,000",3.40,3.40,0.00,0.00,"mscorlib.dll",
"Algorithmn_Assignment.Program.Main(string[])",1,100.00,2.02,"1,401.03",28.29,"Algorithmn Assignment.exe",
"Algorithmn_Assignment.Program.FastSort(int32[],int32)","10,000",87.85,0.05,0.12,0.00,"Algorithmn Assignment.exe",
"System.Random..ctor()",1,0.00,0.00,0.01,0.01,"mscorlib.dll",
