Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Algorithmn_Assignment.Program.QuickSort(int32[],int32,int32)","1,340,540",43.76,40.00,0.03,0.00,"Algorithmn Assignment.exe",
"System.Random.Next(int32,int32)","1,000,000",27.72,27.72,0.00,0.00,"mscorlib.dll",
"Algorithmn_Assignment.Program.Main(string[])",1,100.00,23.90,"1,354.37",323.67,"Algorithmn Assignment.exe",
"Algorithmn_Assignment.Program.SlowSort(int32[],int32)","20,000",4.54,4.54,0.00,0.00,"Algorithmn Assignment.exe",
"Algorithmn_Assignment.Program.Partition(int32[],int32,int32)","660,270",3.76,3.76,0.00,0.00,"Algorithmn Assignment.exe",
"Algorithmn_Assignment.Program.FastSort(int32[],int32)","20,000",43.84,0.09,0.03,0.00,"Algorithmn Assignment.exe",
"System.Random..ctor()",1,0.00,0.00,0.01,0.01,"mscorlib.dll",
