Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Algorithmn_Assignment.Program.SlowSort(int32[],int32)",500,75.20,75.20,2.58,2.58,"Algorithmn Assignment.exe",
"Algorithmn_Assignment.Program.QuickSort(int32[],int32,int32)","1,333,294",21.10,10.72,0.72,0.00,"Algorithmn Assignment.exe",
"Algorithmn_Assignment.Program.Partition(int32[],int32,int32)","666,397",10.37,10.37,0.00,0.00,"Algorithmn Assignment.exe",
"System.Random.Next(int32,int32)","1,000,000",2.38,2.38,0.00,0.00,"mscorlib.dll",
"Algorithmn_Assignment.Program.Main(string[])",1,100.00,1.30,"1,717.30",22.40,"Algorithmn Assignment.exe",
"Algorithmn_Assignment.Program.FastSort(int32[],int32)",500,21.11,0.02,0.73,0.00,"Algorithmn Assignment.exe",
"System.Random..ctor()",1,0.00,0.00,0.01,0.01,"mscorlib.dll",
