Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Algorithmn_Assignment.Program.QuickSort(int32[],int32,int32)","1,333,952",57.71,54.39,0.43,0.00,"Algorithmn Assignment.exe",
"Algorithmn_Assignment.Program.SlowSort(int32[],int32)","2,000",21.43,21.43,0.16,0.16,"Algorithmn Assignment.exe",
"System.Random.Next(int32,int32)","1,000,000",13.81,13.81,0.00,0.00,"mscorlib.dll",
"Algorithmn_Assignment.Program.Main(string[])",1,100.00,7.04,"1,496.56",105.30,"Algorithmn Assignment.exe",
"Algorithmn_Assignment.Program.Partition(int32[],int32,int32)","665,976",3.32,3.32,0.00,0.00,"Algorithmn Assignment.exe",
"Algorithmn_Assignment.Program.FastSort(int32[],int32)","2,000",57.73,0.02,0.43,0.00,"Algorithmn Assignment.exe",
"System.Random..ctor()",1,0.00,0.00,0.01,0.01,"mscorlib.dll",
