Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Algorithmn_Assignment.Program.SlowSort(int32[],int32)","1,000",39.79,39.79,0.68,0.68,"Algorithmn Assignment.exe",
"Algorithmn_Assignment.Program.Partition(int32[],int32,int32)","666,251",33.03,33.03,0.00,0.00,"Algorithmn Assignment.exe",
"Algorithmn_Assignment.Program.QuickSort(int32[],int32,int32)","1,333,502",56.47,23.44,0.96,0.00,"Algorithmn Assignment.exe",
"System.Random.Next(int32,int32)","1,000,000",2.38,2.38,0.00,0.00,"mscorlib.dll",
"Algorithmn_Assignment.Program.Main(string[])",1,100.00,1.34,"1,697.18",22.69,"Algorithmn Assignment.exe",
"Algorithmn_Assignment.Program.FastSort(int32[],int32)","1,000",56.49,0.02,0.96,0.00,"Algorithmn Assignment.exe",
"System.Random..ctor()",1,0.00,0.00,0.01,0.01,"mscorlib.dll",
